,predicted headline,actual headline
0,Badham’s ’Saturday Night Fever’ director fired.,’Saturday Night Fever’ celebrates 40 years
1,Pence plane skidded off New York runway.,"Pence plane missed runway target by nearly 2,000 feet, NTSB says"
2,Yemen: Trash in the City of Sanaa Is Polluting the Environment.,Report: ‘Colossal Pile’ of Toxic Trash May Bury Capital of Yemen
3,Russia Signals New Military Presence in Syria.,Russia Signs Deal for Syria Bases Turkey Appears to Accept Assad
4,Ralph Reed: Evangelicals and Catholics Are Voting for Trump.,Faith-Based Voters for Trump Won’t Be in ’Stained Glass Ghetto’
5,Donald Trump Jr. Is the Trump Who Hasn’t Always Been a Trump.,Donald Trump Jr. Is His Own Kind of Trump
6,"Donald Trump, Hillary Clinton, Russia: Your Friday Briefing.","Australia, Libya, North Korea: Your Morning Briefing"
7,Fidel Castro’s death: What he meant and what he meant.,"After Fidel Castro’s death, can Cuba finally move on?"
8,Joy Behar: Pope Francis Has to ’Speak Out’ Against Trump’s Wall - Breitbart.,Behar: Pope ’Has to Speak Out’ About Trump to Make Up For Previous Pope Ignoring Hitler - Breitbart
9,Trump Threatens to Push Repeal of Obamacare Repeal Bill.,Trump Warns House Republicans: Repeal Health Law or Lose Your Seats
10,"Ann Coulter: ’Don’t EMBARRASS YOURSELVES, IOWA!’ - Breitbart.","Exclusive - Coulter to Iowa: Don’t Embarrass Nation, Vote Trump - Breitbart"
11,"Harriet Tubman, Andrew Jackson, and the $20.",Tubman’s In. Jackson’s Out. What’s It Mean?
12,Donald Trump’s first debate with a Palestinian was a bit more complicated than you might think.,Donald Trump sounds like he really wants a chance to solve the Israeli-Palestinian conflict
13,Sheen: I’m Not Quit Acting Because I’m ’Quitting Acting’ - Breitbart.,Michael Sheen Leaving Hollywood to Fight Rise of Populism (Update) - Breitbart
14,WikiLeaks: Clinton Campaign Used Keystone Pipeline to Divert Attention Away from Her Use of Private Email.,WikiLeaks: Clinton Aides Used Keystone Opposition to Distract from Email Scandal
15,"Airbnb, the New York City-Style Home, Is a ‘New Thing’.",The Guide to Being an Airbnb Superhost
16,Hillary Clinton’s Victory Is a Victory for Bernie Sanders.,Democratic Convention Day 4 Takeaways: Over? She’s Just Starting
17,Vonn’s comeback: What’s next?.,Lindsey Vonn romps to speed double at World Cup finals
18,Texas Man Arrested for Home Invasion Robbery.,Good Guy with Gun Stops Armed Home Invasion in Texas
19,"Donald Trump, Hillary Clinton, Your Friday Evening Briefing.","Bob Dylan, Donald Trump, Michelle Obama: Your Thursday Evening Briefing"
20,BuzzFeed: Twitter’s Problem Is Its Free Speech - Breitbart.,BuzzFeed Identifies Twitter’s Problem: Too Many White Males - Breitbart
21,Gambia’s new president arrives in West Africa.,Gambia’s new President returns to country
22,"Trump calls Jennifer Lin, says she was ’a liar’.",Female reporter: Trump called me the c-word
23,Milo: Gay Men Should ’Get Up and Go Home’ - Breitbart.,"Milo’s Tough Love: Gays Should Seek Solutions, Not Coddling, After Orlando - Breitbart"
24,"Georgetown’s DeGioia, a Slave-Owned College, Steps Up to Help.","Moving to Make Amends, Georgetown President Meets With Descendant of Slaves"
25,Former national security adviser Michael Flynn reportedly told FBI and the intel committees he would be interviewed.,REPORT: Michael Flynn has agreed to be interviewed by the FBI in exchange for immunity
26,Donald Trump’s Victory in Europe and the United States Is a Sign of the End of the American Empire.,"AEI: Elites Need to Talk to Populist, Nationalist in ’Respectful.. Understandable’ Way - Breitbart"
27,Donald Trump’s speech to the American Israel Public Affairs Committee is a big deal.,Pro-Israel conference nervously awaits Donald Trump speech
28,Federal Officer Arrested Over Terror Plot.,Domestic Intel Officer Arrested for Plotting Islamic Terror Attack on Germany’s FBI
29,Transgender Bathroom Ads Launch in New York City.,"New York City Spending $265,000 To Reduce Sexual Privacy, Boost Transgender Ideology - Breitbart"
30,Uber driver: I’m a refugee.,Uber driver gets extra tip from NFLer for 8-hour ride
31,"CNN Student News - September 17, 2016.","CNN Student News - August 17, 2016"
32,’High’: The Battle of Benghazi - Breitbart.,Would You Follow Hillary ’To Hell and Back?’ - Breitbart
33,"Chipotle’s sales are on the rise, and the company’s chief marketing officer is warning customers.",Chipotle made one mistake over the years that’s costing it a ton of customers now
34,30 people treated for burns after ’Unleash the Power Within’.,Tony Robbins hot coal walk injures dozens
35,Brazilians Return to Streets After Anti-President Dilma Rousseff Impeachment.,Brazil: Protests Get Violent as Former President Avoids Trial with Promotion - Breitbart
36,Exclusive — Matt Birk: ’I’m Not a Patriot’ - Breitbart.,Exclusive: Baltimore Ravens Star Matt Birk Explains Why He Came To the March For Life - Breitbart
37,Bill Clinton: Chelsea Clinton ’Would Be a Conduit’ to Hillary Clinton - Breitbart.,"Bill Clinton on Chelsea Staying at Fdn Creating ’Conduit’ To Wife’s Administration: ’Well, We All Know People’ - Breitbart"
38,"Donald Trump, Hillary Clinton, Russia: Your Thursday Evening Briefing.","Republican Convention, Baton Rouge, Turkey: Your Monday Evening Briefing"
39,The Hard Clay Tiles of Alabama’s Rural Southern County.,"A Toilet, but No Proper Plumbing: A Reality in 500,000 U.S. Homes"
40,Top American politicians killed in plane crashes.,American Politician Plane Fatalities Fast Facts
41,Teen Boy and Parents Sue Pennsylvania High School for ’Intolerant’ Boy.,"High School Tries Shaming Boy, Demanding He ’Tolerate’ Undressing with Girls to ’Make it Natural’ - Breitbart"
42,Poll: Americans Want to Go on Vacation With Trump - Breitbart.,Poll: More Americans Want to Vacation with Trump over Clinton
43,"Trump: ’I’m Going to Release My Taxes,’ ’I’m Going to Release My Taxes,’ ’","Trump Hits Stephanopoulos for Pro-Hillary Bias, Says His Taxes Are ‘None of Your Business’ - Breitbart"
44,"CNN Student News - June 5, 2016.","CNN Student News - December 5, 2016"
45,Jesuit Priest Daniel Berrigan Dies at 94.,Radical Pacifist Jesuit Priest Daniel Berrigan Dies at 94 - Breitbart
46,Van Jones: Clinton Lost Because Democrats ’Arrogance and Elitism’ Caused Her to Ignite Rust Belt States - Breitbart.,Van Jones: Trump Won Rust Belt Because of Dems ’Arrogance and Elitism’ - Breitbart
47,California Lawmakers Take Action on New Law - Breitbart.,California Braces for Wave of ’Equal Pay’ Lawsuits - Breitbart
48,Children in Tennessee School Bus Crash Are Being Discharged.,A Crumpled School Bus Leaves Chattanooga Dazed
49,MILO: ’Dangerous Faggot’ Is a ’Dangerous Faggot’ - Breitbart.,The Times of London: Milo the ’British Poster Boy for America’s Far Right’ - Breitbart
50,Fidel Castro’s death: What we know.,Socialism should die with Castro
51,New Subway Line Is a New Thing.,Art Underground: A First Look at the Second Avenue Subway
52,Mississippi is the only state that doesn’t allow discrimination against LGBT people.,"Mississippi’s antigay law isn’t getting a major backlash, and there’s one obvious reason why"
53,24 Underground Tunnels Found in Last Two Years.,DEA: 224 Mexican Cartel Border Tunnels Found Since 1990
54,Michael Flynn: Hillary Clinton’s ’Falling Out’ of the Global War Against Radical Islam - Breitbart.,Lt. Gen. Michael Flynn on Obama and Hillary’s Refusal to Name Radical Islamic Terrorism: Aiming to ’Dumb Us Down’ - Breitbart
55,PEGIDA UK Walk in Birmingham: Police ’Come Down Hard’.,UK Cops Threaten PEGIDA Marchers - Breitbart
56,Breitbart Texas: Mexican Cartel Leaders Will Face Death at the Hands of the Mexican Government.,SOURCE: Mayor’s Son Executed in Mexican Border State after Apparent Torture
