,predicted headline,actual headline
0, krauthammer,hillary offered nothing to nevertrump conservatives 
1, whoopi 84 84 preserve ampt york service’ undo turley,recedented change to the national security council 
2, krauthammer service’ install sostok flashback supporter’s turley rasmussen politico,flight from south pole arrives in chile 
3, flashback ‘for abolish ‘for thrones’ kneel turley bottom’ sostok,trump tells reporters work just ask israel’ 
4, hamilton’ country’ korea semitic turley turley turley service’ fabric,w enforcement will like justice neil gorsuch 
5, krauthammer interaction preserve sostok whoopi sostok krauthammer turley hamilton’,harry belafonte don’t die’ 
6, delingpole imminent’ solve turley rehear turley bottom’ fracture kent,breitbart news daily trump addresses congress 
7, krauthammer ‘for service’ turley hampshire’s sostok tancredo ‘for krauthammer,migrants settled in hotel hosting furry convention 
8, krauthammer ’legitimate’ krauthammer aol turley sostok flashback supporter’s yorkers,et care helps explain human health spending 
9, politico country’ undo undo thrones’ thrones’ undo korea’s 2013,evan mcmullin president donald trump is enemy 
10, krauthammer turley undo turley turley sostok flashback mud’ homestretch, expected to be rare draw in age 
11, krauthammer ‘for service’ turley turley sostok hamilton’ ‘for sostok,bill ackman is getting 
12, krauthammer sostok tancredo inside’ service’ sostok flashback turley impose,is planning for the next 000 years 
13, krauthammer interaction service’ service’ impose turley turley resettle turley,urn to tour at farmers insurance open 
14, rasmussen lite microaggressions microaggressions whoopi mailing flashback krauthammer polygraph,rts everybody will be talking about today 
15, flashback service’ solve sostok hamilton’ least sostok krauthammer leans,ican delegates for cheering for gay people’s protection 
16, whoopi service’ sostok flashback ‘for turley krauthammer service’ sostok,e at the edge of the world 
17, hamilton’ kool preserve sostok hamilton’ service’ fracture ’secret service’,watch celebrities beg congress to donald trump 
18, hamilton’ service’ preserve ‘for ‘for cair’s yorker end’ service’,as with zika w h o suggests 
19, whoopi preserve solve sostok krauthammer service’ sostok flashback lags,obama can’t give pardon to dreamers en 
20, flashback ammo undo hampshire francisco sostok whoopi least acknowledges,‘there is new reality’ following truck terror 
21, krauthammer service’ reinstate resolve sostok krauthammer oversee oversee undo,ence donald trump your tuesday evening briefing 
22, tancredo liberties impose sostok sostok whoopi excoriates turley whoopi,mary ellen portraits from high school proms 
23, krauthammer turley solve service’ rehear turley sostok hamilton’ kent,2016 livewire republican national convention kicks off 
24, hamilton’ ‘for turley sostok rasmussen ‘for deeply sostok flashback,n pilot didn’t see power lines investigators think 
25, whoopi undo turley sostok whoopi airspace sostok whoopi turley,sm obama hails clinton as his political heir 
26, flashback lite service’ terminate firebombing service’ service’ service’ turley,s march on washington opens contentious about race 
27, flashback turley sostok flashback turley turley whoopi sostok rasmussen,ities could look like in 10 years 
28, hamilton’ ’classified’ service’ sostok rasmussen turley ‘for sostok flashback,esenter signs off on flagship debate programme 
29, hamilton’ sostok tancredo service’ service’ turley afdi service’ turley,ince donald trump attacked someone on twitter 
30, whoopi prohibition semite supremacy’ korea sostok whoopi sostok tancredo,amon defends sean penn’s el chapo interview 
31, krauthammer ‘for sostok whoopi ’classified’ users’ york’s service’ sostok,e images of bomber moments before arena blast 
32, hamilton’ ‘for turley turley turley schiff genuine bottom’ service’,civil war re for photographer 
33, whoopi jong clinton’ york’s service’ sostok hamilton’ sostok whoopi, for remarks about mexicans jews and chinese 
34, flashback solve preserve specific afdi hydrogen ampt stripper mapping,says he’ll block trump’s supreme court nominee 
35, flashback gravis service’ firebombing turley service’ turley retrieve usmc,coca cola sends message with label free 
36, krauthammer sostok whoopi undo sostok flashback sostok flashback ’hurting,the democrat national department of justice 
37, hamilton’ newsman service’ ‘for service’ turley resettle tran service’,into valeant’s former ceo raises big questions 
38, flashback introduced reassure service’ decorate turley virgil krauthammer cede,trump just dodged 2 5 trillion bullet 
39, krauthammer ’classified’ undo service’ terminate centrist sostok krauthammer usmc,fugee pause from failed middle eastern countries 
40, krauthammer valley turley times’s sostok hamilton’ introduced excoriates krauthammer,ia chemical attack ’i saw the explosion 
41, flashback meetup impose turley sostok krauthammer sostok tancredo macklemore, the job interview questions about money 
42, flashback treads sostok hamilton’ ‘for service’ sostok flashback turley,farage vs david cameron in brexit ’debate 
43, krauthammer service’ undo ’beauty’ cede turley paramount service’ sostok,road to 270 cnn’s new election map 
44, hamilton’ steamrolled solve sostok krauthammer sostok whoopi realize service’,ee in trump they just have to 
45, krauthammer ’legitimate’ preserve service’ service’ sostok hamilton’ service’ service’,ould change your mind about president trump 
46, whoopi supremacy preserve service’ service’ turley turley sostok whoopi,s on bullets to fight chicago gun violence 
47, flashback ‘for service’ turley turley krauthammer sostok whoopi turley,featuring man flying is flag was ’racist 
48, tancredo liberties survive’ service’ ‘for sostok tancredo ’perfectly usmc,gue smeared with feces in attack on chanukah 
49, flashback pullback 84 ampt jong service’ ces sostok whoopi,again obama with clinton is rapist’ protester 
50, krauthammer leans install sostok tancredo ‘for whoopi ‘for whoopi,ts economic course politics complicate the picture 
51, whoopi service’ satisfy turley 1995 turley service’ election’s election’s,after relay teammate found guilty of doping 
52, hamilton’ leans terminate service’ sostok krauthammer sostok flashback sostok,as been terrifying wall street for years 
53, whoopi sostok whoopi turley flashback sostok krauthammer turley krauthammer, who feel younger at heart live longer 
54, whoopi turley lure taunting service’ turley paramount strickland anglo,on clinton guards take their guns away 
55, flashback ‘for turley turley service’ turley understanding cincinnati service’,ar in an age of widespread recalls 
56, krauthammer interaction preserve turley service’ sostok flashback service’ ’secret,trump inauguration speech had ‘anti semitic overtones’ 
57, whoopi tighter semite service’ turley service’ sostok flashback mud’,the right wing supreme court that wasn’t 
58, rasmussen turley terminate turley zealand’s turley election’s ’looking ’looking,in nation here’s who gets my vote 
59, krauthammer chemistry’ 84 service’ turley turley turley accomplish sostok,s ca high speed rail 15 billion loan 
60, hamilton’ carolina politico undo sostok whoopi excoriates rasmussen politico,isis claims responsibility for kuwait mosque attack 
61, rasmussen turley preserve turley sostok flashback service’ york delingpole, killer all 12 suspects released without charge 
62, hamilton’ solve turley understanding terminate sostok flashback service’ service’,lassified 28 pages of 9 11 report 
63, krauthammer flourished frame frame terminate yorkers cede anglo anglo,a rejects far right presidential candidate norbert hofer 
64, hamilton’ testify preserve ampt turley atone service’ strickland turley, to squeeze businesses trump has tactics challenged 
65, delingpole stunt’ solve sostok thrones’ solve relocating q4 service’,jeb bush’s pre announcement strategy explained 
66, krauthammer ‘for kristallnacht assimilate guatemala service’ kent orleans strickland,airs ’f word’ during sanders supporters debate 
67, whoopi ‘for leans terminate ‘for service’ turley rasmussen rasmussen,n of wikipedia here’s what it looks like 
68, krauthammer old’s evening sostok undo ’important’ undo turley preserve,barrassment to breitbart’ for criticizing facebook meeting 
69, rasmussen mascot solve sostok thrones’ least service’ paramount sostok,california official voter fraud claims ’dangerous 
70, krauthammer turley recruit turley rehear sostok tancredo onion whoopi,to trust trump to ’lead our party’ 
71, whoopi saddam preserve turley dover turley kent kent preserve, telling people not to be angry 
72, tancredo joker solve service’ cede 2025 terminate cede thrones’,ng health vote trump swallowed need for showdown 
73, politico mascot detect sostok whoopi sostok delingpole leans retain,st supporters abandon trump at home and abroad 
74, rasmussen ‘for sostok rasmussen service’ undo hampshire rasmussen krauthammer,claims to show paris attackers threatens britain 
75, flashback newsman solve sostok thrones’ serve decorate afdi afdi,slams obama’s policies proclaims to protect america 
76, tancredo interaction sostok whoopi ‘for firebombing turley service’ sostok,nominees have these gifts in the bag 
77, hamilton’ ‘for ’quiet ’tone ‘for terminate service’ sostok hamilton’,cnn student news august 15 2016 
78, whoopi relocating undo sostok hamilton’ whoopi usmc usmc usmc,democrats we need this new direction 
79, hamilton’ newsman sostok whoopi least sostok flashback service’ impose, of online privacy protections means for you 
80, krauthammer old’s turley deeply hampshire bottom’ service’ turley ’bimbo’,s must stay open despite deadly terror attacks 
81, flashback old’s frame service’ service’ sostok krauthammer sostok hamilton’,stan bans video games that security political stability’ 
82, flashback upended 84 ’whiteness’ quo’ sostok hamilton’ least sostok,gs to watch in georgia special election 
83, whoopi service’ reassure turley yorkers centrist sostok krauthammer recently, to broad change for troubled police dept 
84, delingpole treads semite semite paramount sostok pew yorkers solve,g tighter in the most crucial swing states 
85, whoopi ‘for turley service’ turley sostok krauthammer least service’,the real issue for distractinglysexy female scientists 
